,X,location,Weeks,CFR,TotalCasepm,NewCases,Age65Older,PopulationDensity,TotalTestpt,GDP,Vaccinationph,SI,GHSI,WGI,ï..iso_code,continent,Obesity_rate,Vaccinationph2,Count
15634,15536,Panama,116,0.0107092,171931.3,340.5714,7.918,55.133,1276.569,22267.04,174.305,25.13571,43.7,0.58,PAN,North America,22.7,174.305,0
21199,21096,Turkey,116,0.006647911,168625.6,33261.14,8.153,104.914,1731.155,25129.34,171.1414,17.59,52.4,-0.83,TUR,Asia,32.1,171.1414,0
21963,21855,United States,116,0.01208534,234957,36044.86,15.413,35.608,2472.021,54225.45,169.44,34.65143,83.5,1.04,USA,North America,36.2,169.44,0
17418,17323,Saudi Arabia,116,0.01205051,20534.55,262.5714,3.295,15.322,1143.361,49045.41,NA,50.54714,49.3,-1.64,SAU,Asia,35.4,167.025,0
8862,8878,Hungary,116,0.02460845,181099.7,2187.429,18.577,108.043,1074.053,26777.56,162.21,18.49286,54,0.32,HUN,Europe,26.4,162.21,0
12023,12056,Lithuania,116,0.008505494,365696.1,5486.286,19.002,45.135,2952.307,29524.26,162.0171,17.59,55,0.92,LTU,Europe,26.3,162.0171,0
9320,9278,Iran,116,0.01946037,80137.66,5692,5.44,49.831,543.8894,19082.62,161.8683,62.04,37.7,-1.32,IRN,Asia,25.8,161.8683,0
6149,6070,El Salvador,116,0.02615418,24677.13,0,8.273,307.811,226.986,7292.458,NA,24.94,44.2,0.04,SLV,North America,24.6,161.28,0
13376,13295,Mongolia,116,0.002304191,268565.5,594.1429,4.031,1.98,2151.23,11840.85,161.01,5.56,49.5,0.26, , ,20.6,161.01,0
11285,11286,Latvia,116,0.007580848,382256.2,6392.857,19.754,31.212,3616.127,25063.85,154.5557,31.83429,62.9,0.81,LVA,Europe,23.6,154.5557,0
15183,15200,Oman,116,0.01103602,84129.23,304.1429,2.355,14.98,NA,37960.71,151.22,27.95857,43.1,-1.03,OMN,Asia,27,151.22,0
4346,4311,Colombia,116,0.02290913,117060.6,971.4286,7.646,44.223,646.703,13254.95,150.44,39.57571,44.2,0.19,COL,South America,22.3,150.44,0
6602,6606,Estonia,116,0.004441087,390773.3,2576.714,19.452,31.033,2382.426,29481.25,147.7943,45.48714,57,1.21,EST,Europe,21.2,147.7943,0
13077,13088,Mexico,116,0.05745832,43676.08,8255,6.857,66.444,117.0743,17336.47,144.238,37.79571,57.6,-0.01,MEX,North America,28.9,144.238,0
13530,13568,Morocco,116,0.01379171,31013.75,76.14286,6.769,80.08,299.8133,7485.013,143.88,40.84571,43.7,-0.66,MAR,Africa,26.1,143.88,0
17267,17274,Rwanda,116,0.01125669,9404.355,4.714286,2.974,494.869,364.7442,1854.211,NA,48.99143,34.2,-1.13, , ,5.8,140.97,0
18327,18247,Slovenia,116,0.007027805,427351.9,1892.286,19.062,102.619,2121.431,31400.84,139.9343,14.26,67.2,0.99,SVN,Europe,20.2,139.9343,0
14580,14614,Nicaragua,116,0.0160279,2022.893,10.42857,5.445,51.667,26.435,5321.444,138.33,8.33,43.1,-1.08,NIC,North America,23.7,138.33,0
5697,5651,Dominican Republic,116,0.007588798,51296.52,111.8571,6.981,222.873,283.3747,14600.86,136.43,8.33,38.3,0.14,DOM,North America,27.6,136.43,0
16387,16397,Poland,116,0.01959181,144330.5,11362.29,16.763,124.027,916.739,27216.44,134.312,22.52,55.4,0.72,POL,Europe,23.1,134.312,0
